Name,Job_Title
Bret Taylor,Independent Chairman of the Board
Parag Agrawal,"Chief Executive Officer, Director"
Ned D. Segal,Chief Financial Officer
Lindsey Iannucci,Vice President of Operations
Sarah Personette,Chief Customer Officer
Vijaya V. Gadde,Chief Legal Officer and Secretary
Mimi Alemayehou,Independent Director
Egon P. Durban,Independent Director
Martha Lane Fox,Independent Director
Fei-Fei Li,Independent Director
Patrick Pichette,Independent Director
David S. Rosenblatt,Independent Director
